end_station_name,num
"Belgrove Street , King's Cross",231802
"Hyde Park Corner, Hyde Park",215038
"Waterloo Station 3, Waterloo",193200
"Albert Gate, Hyde Park",157943
"Hop Exchange, The Borough",156964
"Black Lion Gate, Kensington Gardens",156020
"Waterloo Station 1, Waterloo",141733
"Wormwood Street, Liverpool Street",129376
"Brushfield Street, Liverpool Street",120659
"Finsbury Circus, Liverpool Street",116011
"Newgate Street , St. Paul's",108223
"Triangle Car Park, Hyde Park",107372
"Wellington Arch, Hyde Park",105729
"Craven Street, Strand",104457
"Bethnal Green Road, Shoreditch",100590
"Duke Street Hill, London Bridge",99851
"Regent's Row , Haggerston",98284
"Holborn Circus, Holborn",95902
"William IV Street, Strand",94806
"Soho Square , Soho",93536
"Old Street Station, St. Luke's",93010
"Palace Gate, Kensington Gardens",92638
"Queen Street 1, Bank",90407
"Crosswall, Tower",90080
"Cheapside, Bank",89211
"St. James's Square, St. James's",87991
"Bankside Mix, Bankside",86974
"Speakers' Corner 1, Hyde Park",85884
"Exhibition Road, Knightsbridge",85844
"Moorfields, Moorgate",85500
"Storey's Gate, Westminster",85278
"Tooley Street, Bermondsey",84807
"Whitehall Place, Strand",84038
"Shoreditch High Street, Shoreditch",83212
"Sun Street, Liverpool Street",80180
"South Kensington Station, South Kensington",78592
"Green Park Station, Mayfair",77291
"Serpentine Car Park, Hyde Park",77053
"Tower Gardens , Tower",76688
"Little Argyll Street, West End",76558
"Great Tower Street, Monument",75749
"Drury Lane, Covent Garden",74456
"Malet Street, Bloomsbury",72148
"Kennington Lane Rail Bridge, Vauxhall",71822
"Aldersgate Street, Barbican",71770
"Stonecutter Street, Holborn",70980
"Tavistock Street, Covent Garden",69698
"Moor Street, Soho",69640
"Queen's Gate, Kensington Gardens",68563
"Leonard Circus , Shoreditch",67862
"Baylis Road, Waterloo",67744
"Wardour Street, Soho",67002
"Berry Street, Clerkenwell",66448
"Vauxhall Cross, Vauxhall",66398
"Speakers' Corner 2, Hyde Park",66371
"Great Marlborough Street, Soho",65752
"Godliman Street, St. Paul's",65433
"Jubilee Gardens, South Bank",64873
"Nesham Street, Wapping",64824
"Islington Green, Angel",64656
"Queen Street 2, Bank",63302
"Ashley Place, Victoria",63188
"Fulham Broadway, Walham Green",62746
"Hatton Wall, Holborn",62386
"Eccleston Place, Victoria",62203
"Red Lion Street, Holborn",61865
"Derry Street, Kensington",61284
"West Smithfield Rotunda, Farringdon",61141
"Bank of England Museum, Bank",61073
"Leman Street, Aldgate",61014
"Notting Hill Gate Station, Notting Hill",60767
"Park Lane , Hyde Park",60638
"Pall Mall East, West End",60032
"Finsbury Leisure Centre, St. Luke's",59876
"British Museum, Bloomsbury",59597
"Winsland Street, Paddington",59455
"Gloucester Road Station, South Kensington",58950
"Waterloo Station 2, Waterloo",58696
"Bunhill Row, Moorgate",58491
"Clerkenwell Green, Clerkenwell",58401
"Howick Place, Westminster",57623
"Dunston Road , Haggerston",56633
"Bath Street, St. Luke's",56352
"Aquatic Centre, Queen Elizabeth Olympic Park",55979
"Bermondsey Street, Bermondsey",55973
"Northumberland Avenue, Strand",55425
"Wright's Lane, Kensington",54378
"St. Bride Street, Holborn",53954
"Southampton Street, Strand",53947
"Endsleigh Gardens, Euston",53598
"Flood Street, Chelsea",53365
"Warren Street Station, Euston",53032
"Queen Victoria Street, St. Paul's",52844
"Queen's Circus, Battersea Park",52208
"Braham Street, Aldgate",51354
"Somerset House, Strand",51341
"Eagle Wharf Road, Hoxton",51235
"Imperial College, Knightsbridge",50828
"Curlew Street, Shad Thames",50670
"Belvedere Road, South Bank",50352
"Sedding Street, Sloane Square",50214
"Elizabeth Bridge, Victoria",49883
"Museum of London, Barbican",49852
"Poured Lines, Bankside",49748
"Abingdon Green, Westminster",49631
"Limerston Street, West Chelsea",49413
"Tysoe Street, Clerkenwell",49317
"Hinde Street, Marylebone",49258
"Bouverie Street, Temple",49216
"Bayswater Road, Hyde Park",48387
"Wellington Street , Strand",48190
"Abbey Orchard Street, Westminster",47838
"Stamford Street, South Bank",47759
"Bayley Street , Bloomsbury",47706
"Wells Street, Fitzrovia",47225
"Russell Square Station, Bloomsbury",47176
"Belgrave Road, Victoria",46821
"Waterloo Place, St. James's",46760
"Liverpool Road (N1 Centre), Angel",46624
"Cumberland Gate, Hyde Park",46551
"Old Quebec Street, Marylebone",46473
"Queen Mother Sports Centre, Victoria",46465
"Montpelier Street, Knightsbridge",46169
"Southwark Station 2, Southwark",45872
"South Wharf Road, Paddington",45696
"Ethelburga Estate, Battersea Park",45563
"Strand, Strand",45471
"Wren Street, Holborn",45149
"Falcon Road, Clapham Junction",44767
"Milroy Walk, South Bank",44729
"Exhibition Road Museums, South Kensington",44661
"New Inn Yard, Shoreditch",44597
"Fournier Street, Whitechapel",44333
"Panton Street, West End",43898
"Hatton Garden, Holborn",43790
"Sadlers Sports Centre, Finsbury",43733
"Great Russell Street, Bloomsbury",43700
"Frith Street, Soho",43527
"Tanner Street, Bermondsey",43503
"Westbridge Road, Battersea",43503
"Greenland Road, Camden Town",43472
"Guilford Street , Bloomsbury",43432
"Marylebone Lane, Marylebone",43159
"Binfield Road, Stockwell",42991
"Bolsover Street, Fitzrovia",42986
"Tallis Street, Temple",42770
"Natural History Museum, South Kensington",42602
"Westferry DLR, Limehouse",42541
"Golden Square, Soho",42540
"Doric Way , Somers Town",42521
"Howland Street, Fitzrovia",42497
"Castlehaven Road, Camden Town",42378
"Finsbury Square , Moorgate",42261
"Buckingham Gate, Westminster",42156
"Pritchard's Road, Bethnal Green",41977
"New Globe Walk, Bankside",41725
"Graham Street, Angel",41716
"Flamborough Street, Limehouse",41704
"Snow Hill, Farringdon",41658
"Kennington Cross, Kennington",41531
"Pott Street, Bethnal Green",41117
"Kensington Church Street, Kensington",40817
"Bonny Street, Camden Town",40535
"Cardinal Place, Victoria",40499
"Park Road (Baker Street), The Regent's Park",40468
"Sloane Avenue, Knightsbridge",40162
"Northington Street , Holborn",40114
"Alfred Place, Bloomsbury",39949
"Great Titchfield Street, Fitzrovia",39911
"Golden Lane, Barbican",39696
"Seville Street, Knightsbridge",39565
"Brick Lane Market, Shoreditch",39429
"Norton Folgate, Liverpool Street",39415
"Parsons Green Station, Parsons Green",39378
"Theobald's Road , Holborn",39322
"Broadcasting House, Marylebone",39286
"Devonshire Square, Liverpool Street",39165
"Drayton Gardens, West Chelsea",39139
"Granby Street, Shoreditch",39089
"Hampstead Road, Euston",39031
"Victoria Park Road, Hackney Central",38855
"New Fetter Lane, Holborn",38808
"St. Mary Axe, Aldgate",38806
"Woodstock Grove, Shepherd's Bush",38771
"Royal London Hospital, Whitechapel",38650
"Chapel Place, Marylebone",38586
"Warwick Avenue Station, Maida Vale",38551
"Southampton Place, Holborn",38459
"Rampayne Street, Pimlico",38454
"Watney Street, Shadwell",38454
"All Saints Church, Portobello",38442
"York Hall, Bethnal Green",38285
"Whiteley's, Bayswater",38052
"Monument Street, Monument",37850
"Devonshire Terrace, Bayswater",37815
"Erin Close, Walham Green",37711
"Horseferry Road, Westminster",37701
"Chadwell Street, Angel",37323
"Cadogan Gardens, Chelsea",37238
"Broadwick Street, Soho",37213
"Christopher Street, Liverpool Street",36832
"Jubilee Plaza, Canary Wharf",36804
"Boston Place, Marylebone",36755
"Smith Square, Westminster",36737
"Sackville Street, Mayfair",36693
"St. Chad's Street, King's Cross",36666
"Page Street, Westminster",36530
"Kingsway Southbound, Strand",36514
"Bramham Gardens, Earl's Court",36438
"George Street, Marylebone",36299
"Phillimore Gardens, Kensington",36293
"Earnshaw Street , Covent Garden",36200
"Appold Street, Liverpool Street",36090
"Dorset Square, Marylebone",36011
"Porchester Place, Paddington",35666
"Cartwright Gardens , Bloomsbury",35609
"Portland Place, Marylebone",35560
"Gloucester Road (North), Kensington",35383
"Stephendale Road, Sands End",35367
"Parson's Green , Parson's Green",35353
"Harriet Street, Knightsbridge",35291
"Holy Trinity Brompton, Knightsbridge",35197
"Embankment (Savoy), Strand",35193
"St. George's Square, Pimlico",35104
"Brunswick Square, Bloomsbury",35007
"Fire Brigade Pier, Vauxhall",34986
"Shoreditch Park, Hoxton",34858
"Lancaster Gate , Bayswater",34572
"Cadogan Close, Victoria Park",34317
"Old Montague Street, Whitechapel",34301
"Taviton Street, Bloomsbury",34272
