start_station_name,num
"Belgrove Street , King's Cross",234458
"Hyde Park Corner, Hyde Park",215629
"Waterloo Station 3, Waterloo",201630
"Black Lion Gate, Kensington Gardens",161952
"Albert Gate, Hyde Park",155647
"Waterloo Station 1, Waterloo",145910
"Wormwood Street, Liverpool Street",119447
"Hop Exchange, The Borough",115135
"Wellington Arch, Hyde Park",110260
"Triangle Car Park, Hyde Park",108347
"Finsbury Circus, Liverpool Street",105810
"Brushfield Street, Liverpool Street",103114
"Bethnal Green Road, Shoreditch",100005
"Regent's Row , Haggerston",99706
"Craven Street, Strand",96609
"Duke Street Hill, London Bridge",96557
"Palace Gate, Kensington Gardens",91917
"Old Street Station, St. Luke's",89112
"Queen Street 1, Bank",87321
"Newgate Street , St. Paul's",86980
"Speakers' Corner 1, Hyde Park",85835
"Cheapside, Bank",85285
"Shoreditch High Street, Shoreditch",84286
"Crosswall, Tower",81622
"Waterloo Station 2, Waterloo",80840
"Soho Square , Soho",79684
"Whitehall Place, Strand",76669
"Exhibition Road, Knightsbridge",76581
"Storey's Gate, Westminster",75946
"Moorfields, Moorgate",75453
"Serpentine Car Park, Hyde Park",74903
"Holborn Circus, Holborn",74748
"William IV Street, Strand",74550
"South Kensington Station, South Kensington",74467
"Bankside Mix, Bankside",73589
"Sun Street, Liverpool Street",73579
"Green Park Station, Mayfair",72126
"Drury Lane, Covent Garden",71187
"Malet Street, Bloomsbury",70015
"Eagle Wharf Road, Hoxton",69753
"Tooley Street, Bermondsey",69470
"Islington Green, Angel",69460
"Kennington Lane Rail Bridge, Vauxhall",69407
"Tower Gardens , Tower",68561
"Great Tower Street, Monument",68376
"Little Argyll Street, West End",67660
"Queen's Gate, Kensington Gardens",67596
"Aldersgate Street, Barbican",67244
"Speakers' Corner 2, Hyde Park",67010
"Notting Hill Gate Station, Notting Hill",67006
"Vauxhall Cross, Vauxhall",66349
"St. James's Square, St. James's",65477
"Leonard Circus , Shoreditch",65014
"Baylis Road, Waterloo",64830
"Red Lion Street, Holborn",64692
"Moor Street, Soho",64093
"Nesham Street, Wapping",64011
"Berry Street, Clerkenwell",63480
"Leman Street, Aldgate",62747
"Eccleston Place, Victoria",62436
"Ashley Place, Victoria",62210
"Fulham Broadway, Walham Green",61702
"Hatton Wall, Holborn",61427
"Park Lane , Hyde Park",61415
"Great Marlborough Street, Soho",61110
"Finsbury Leisure Centre, St. Luke's",60917
"Dunston Road , Haggerston",60541
"Wardour Street, Soho",60530
"Winsland Street, Paddington",60249
"British Museum, Bloomsbury",59185
"Bermondsey Street, Bermondsey",58513
"Gloucester Road Station, South Kensington",58124
"Derry Street, Kensington",57083
"Godliman Street, St. Paul's",56843
"West Smithfield Rotunda, Farringdon",56780
"Bank of England Museum, Bank",56299
"Tavistock Street, Covent Garden",56188
"Jubilee Gardens, South Bank",56071
"Warren Street Station, Euston",55857
"Bath Street, St. Luke's",55162
"Clerkenwell Green, Clerkenwell",55092
"Endsleigh Gardens, Euston",54843
"Aquatic Centre, Queen Elizabeth Olympic Park",54824
"Queen's Circus, Battersea Park",53236
"Queen Street 2, Bank",51658
"Flood Street, Chelsea",51631
"Graham Street, Angel",51586
"Liverpool Road (N1 Centre), Angel",51256
"Pall Mall East, West End",51201
"Bayswater Road, Hyde Park",51127
"Wright's Lane, Kensington",51118
"Curlew Street, Shad Thames",50967
"Braham Street, Aldgate",50803
"Bunhill Row, Moorgate",50094
"Howick Place, Westminster",49663
"Southwark Station 2, Southwark",49303
"Museum of London, Barbican",49256
"Doric Way , Somers Town",49190
"Wren Street, Holborn",49144
"Tysoe Street, Clerkenwell",48977
"Hampstead Road, Euston",48974
"Belgrave Road, Victoria",48788
"Southampton Street, Strand",48604
"Limerston Street, West Chelsea",48290
"South Wharf Road, Paddington",48245
"Russell Square Station, Bloomsbury",48007
"Queen Victoria Street, St. Paul's",47904
"Hatton Garden, Holborn",47629
"Imperial College, Knightsbridge",47473
"Ethelburga Estate, Battersea Park",47336
